seed,split,field_strength,n,ece
2025,training,all,9562,0.0011509516533503611
2025,training,1.5T,4781,1.960957905555727e-05
2025,training,3T,4781,0.002282293727645165
2025,validation,all,3576,0.009628757933534694
2025,validation,1.5T,1788,0.0258316703303378
2025,validation,3T,1788,0.007266499681905524
2025,test,all,6788,0.45467838351797224
2025,test,1.5T,3078,0.41667643306648205
2025,test,3T,3710,0.5094869319904619
2026,training,all,9562,0.0018858417428835501
2026,training,1.5T,4781,0.0002476467644412813
2026,training,3T,4781,0.0036091553954806055
2026,validation,all,3576,0.007200279008644129
2026,validation,1.5T,1788,0.022092944734545393
2026,validation,3T,1788,0.007813145994259522
2026,test,all,6788,0.4639433021732619
2026,test,1.5T,3078,0.41374923757479976
2026,test,3T,3710,0.5221588057538545
2027,training,all,9562,0.0021903670800142018
2027,training,1.5T,4781,7.749086293040719e-05
2027,training,3T,4781,0.004458225022958768
2027,validation,all,3576,0.0063184806267619215
2027,validation,1.5T,1788,0.01754549216485314
2027,validation,3T,1788,0.01482106730127165
2027,test,all,6788,0.46079696898781125
2027,test,1.5T,3078,0.4285659775012194
2027,test,3T,3710,0.507796725555837
